47, 93 
23, 25 
99, 4 
4, 39 
14, 24 
39, 44 
73, 56 
98, 15 
33, 49 
27, 21 
43, 55 
70, 42 
87, 65 
5, 42 
31, 2 
57, 72 
0, 70 
97, 51 
67, 1 
67, 84 
48, 26 
89, 53 
7, 12 
84, 13 
82, 84 
69, 40 
39, 51 
11, 92 
35, 4 
10, 50 
64, 49 
23, 11 
21, 80 
94, 79 
65, 67 
0, 24 
79, 43 
12, 8 
95, 73 
54, 70 
39, 37 
66, 16 
7, 47 
18, 52 
43, 60 
58, 19 
32, 61 
47, 5 
29, 21 
75, 18 
97, 8 
20, 25 
89, 14 
88, 46 
84, 76 
82, 34 
61, 24 
75, 17 
89, 44 
8, 4 
36, 63 
35, 15 
22, 65 
63, 54 
23, 38 
33, 56 
90, 31 
73, 10 
17, 98 
45, 23 
95, 20 
80, 50 
16, 50 
92, 62 
88, 38 
19, 27 
77, 95 
41, 73 
81, 95 
78, 57 
30, 5 
42, 19 
55, 38 
26, 4 
40, 21 
96, 43 
74, 52 
68, 49 
69, 56 
16, 45 
53, 78 
80, 76 
77, 34 
6, 89 
44, 75 
45, 14 
5, 69 
43, 67 
90, 70 
29, 84 
